level multiplicity entropy signed
-0.155811344 12 3.57072486 0
-0.1508705446 12 3.57073236 0
-0.1459297451 12 3.570738333 0
-0.1409889457 12 3.570742795 0
-0.1360481463 12 3.570745758 0
-0.1311073468 12 3.57074723 0
-0.1261665474 12 3.570747224 0
-0.121225748 12 3.570745755 0
-0.1162849486 12 3.570742821 0
-0.1113441491 12 3.570738434 0
-0.1064033497 12 3.570732606 0
-0.1014625503 12 3.570725341 0
-0.09652175084 12 3.570716637 0
-0.09158095142 12 3.570706511 0
-0.08664015199 12 3.570694963 0
-0.08169935256 12 3.57068199 0
-0.07675855313 12 3.570667601 0
-0.0718177537 12 3.570651794 0
-0.06687695427 12 3.570634576 0
-0.06193615484 12 3.570615941 0
-0.05699535541 12 3.570595891 0
-0.05205455599 12 3.570574424 0
-0.04711375656 12 3.57055154 0
-0.04217295713 12 3.570527239 0
-0.0372321577 12 3.57050151 0
-0.03229135827 12 3.570474358 0
-0.02735055884 12 3.570445769 0
-0.02240975941 12 3.570415743 0
-0.01746895998 12 3.570384273 0
-0.01252816056 12 3.570351353 0
-0.007587361127 12 3.570316967 0
0.007235037159 13 3.685116408 1
0.01217583659 13 3.685079515 1
0.01711663602 13 3.685041075 1
0.02205743545 13 3.685001083 1
0.02699823487 13 3.684959513 1
0.0319390343 13 3.684916364 1
0.03687983373 13 3.684871619 1
0.04182063316 13 3.68482526 1
0.04676143259 13 3.684777268 1
0.06158383088 12 3.569757 0
0.0665246303 12 3.569700063 0
0.07146542973 12 3.569641439 0
0.07640622916 12 3.569581098 0
0.08134702859 12 3.569519023 0
0.08628782802 12 3.569455191 0
0.09122862745 12 3.569389571 0
0.09616942688 12 3.569322141 0
0.1011102263 12 3.569252869 0
0.1060510257 12 3.569181727 0
0.1109918252 12 3.569108687 0
0.1159326246 12 3.569033712 0
0.120873424 12 3.568956772 0
0.1258142234 12 3.568877831 0
0.1307550229 12 3.568796858 0
0.1356958223 12 3.56871381 0
0.1406366217 12 3.568628653 0
0.1455774212 12 3.568541337 0
0.1505182206 12 3.568451832 0
0.15545902 12 3.568360086 0
0.1603998195 12 3.568266059 0
0.1653406189 12 3.568169697 0
0.1702814183 12 3.568070954 0
0.1752222177 12 3.56796978 0
0.1801630172 12 3.567866126 0
0.1851038166 12 3.56775992 0
0.190044616 12 3.567651122 0
0.1949854155 12 3.567539661 0
0.1999262149 12 3.567425486 0
0.2048670143 12 3.56730852 0
0.2098078137 12 3.567188694 0
0.2147486132 12 3.567065955 0
0.2196894126 12 3.566940216 0
0.224630212 12 3.566811404 0
0.2295710115 12 3.566679439 0
0.2345118109 12 3.566544242 0
0.2394526103 12 3.566405717 0
0.2443934097 12 3.566263789 0
0.2493342092 12 3.566118355 0
0.2542750086 12 3.565969328 0
0.259215808 12 3.565816593 0
0.2641566075 12 3.565660051 0
0.2690974069 12 3.565499594 0
0.2740382063 12 3.565335105 0
0.2789790057 12 3.565166467 0
0.2839198052 12 3.564993553 0
0.2888606046 12 3.564816235 0
0.293801404 12 3.564634376 0
0.2987422035 12 3.564447829 0
0.3036830029 12 3.564256449 0
0.3086238023 12 3.564060083 0
0.3135646017 12 3.56385857 0
0.3185054012 12 3.563651731 0
0.3234462006 12 3.563439397 0
0.328387 12 3.563221378 0
0.3333277995 12 3.562997483 0
0.3382685989 12 3.562767499 0
0.3432093983 12 3.562531211 0
0.3481501977 12 3.562288414 0
0.3530909972 12 3.562038846 0
0.3580317966 12 3.561782271 0
0.362972596 12 3.561518437 0
0.3679133955 12 3.561247054 0
0.3728541949 12 3.56096785 0
0.3777949943 12 3.560680512 0
0.3827357937 12 3.560384725 0
0.3876765932 12 3.560080143 0
0.3926173926 12 3.559766437 0
0.397558192 12 3.559443209 0
0.4024989915 12 3.559110077 0
0.4074397909 12 3.558766624 0
0.4123805903 12 3.55841241 0
0.4173213897 12 3.558046969 0
0.4222621892 12 3.557669816 0
0.4272029886 12 3.557280414 0
0.432143788 12 3.556878232 0
0.4370845875 12 3.556462671 0
0.4420253869 12 3.55603312 0
0.4469661863 12 3.555588912 0
0.4519069857 12 3.555129353 0
0.4568477852 12 3.554653676 0
0.4617885846 12 3.554161115 0
0.466729384 12 3.553650815 0
0.4716701835 12 3.553121853 0
0.4766109829 12 3.552573298 0
0.4815517823 12 3.552004082 0
0.4864925817 12 3.551413138 0
0.4914333812 12 3.550799245 0
0.4963741806 12 3.550161155 0
0.50131498 12 3.549497506 0
0.5062557795 12 3.548806831 0
0.5111965789 12 3.548087555 0
0.5161373783 12 3.547337968 0
0.5210781777 12 3.546556248 0
0.5260189772 12 3.54574042 0
0.5309597766 12 3.544888331 0
0.535900576 12 3.543997624 0
0.5408413755 12 3.543065836 0
0.5457821749 12 3.542090171 0
0.5507229743 12 3.541067676 0
0.5556637738 12 3.539995096 0
0.5606045732 12 3.538868821 0
0.5655453726 12 3.537685012 0
0.570486172 12 3.536439323 0
0.5754269715 12 3.535127094 0
0.5803677709 12 3.533743105 0
0.5853085703 12 3.532281648 0
0.5902493698 12 3.530736365 0
0.5951901692 12 3.529100209 0
0.6001309686 12 3.527365361 0
0.605071768 12 3.525523062 0
0.6100125675 12 3.523563474 0
0.6149533669 12 3.521475659 0
0.6198941663 12 3.519247148 0
0.6248349658 12 3.516863957 0
0.6297757652 12 3.514310179 0
0.6347165646 12 3.511567626 0
0.639657364 12 3.508615525 0
